AGN,Z,n,R,NH,U,H1_4861.36A,O3_5007.00A,H1_6562.85A,N2_6584.00A,O1_6300.00A,S2_6720.00A,NE5_3345.99A,NE5_3426.03A,FE11_7891.87A,S12_7610.59A,FE7_5720.71A,FE7_5720.22A,FE7_6086.97A,S8_9914.00A,AL5_2.90450m,AL6_3.65932m,AL6_9.11329m,AL8_5.82933m,AL8_3.69722m,AL9_2.04444m,AR3_8.98898m,AR3_21.8253m,AR3_6.36676m,AR5_13.0985m,AR5_7.89971m,AR5_4.92778m,AR6_4.52800m,CA4_3.20610m,CA5_4.15739m,CA5_11.4792m,CA8_2.32117m,CL4_20.3197m,CL4_11.7629m,CL4_7.45009m,CL5_6.70733m,FE4_2.83562m,FE4_2.86447m,FE4_2.80554m,FE4_2.71569m,FE4_2.77325m,FE4_2.71341m,FE4_1.54429m,FE4_1.54122m,FE4_1.66239m,FE4_2.77563m,FE4_2.12139m,FE4_1.11332m,FE4_1.07611m,FE4_1.50700m,FE4_1.90740m,FE4_2.18716m,FE4_1.07749m,FE4_2.83081m,FE4_3.16981m,FE4_3.80820m,FE4_3.03352m,FE4_1.54322m,FE4_7.40704m,FE4_2.90821m,FE4_2.08829m,FE4_1.50629m,FE4_5.39606m,FE4_1.27087m,FE4_4.72617m,FE4_3.58762m,FE4_3.58878m,FE4_2.97281m,FE4_3.38592m,FE4_8.15106m,FE4_2.90104m,FE4_2.83329m,FE4_3.39109m,FE4_3.21932m,FE5_25.9131m,FE5_20.8407m,FE5_2.04669m,FE5_3.36066m,FE5_3.27093m,FE5_1.91721m,FE5_3.15073m,FE5_1.92100m,FE5_2.03959m,FE5_2.89265m,FE5_6.68535m,FE5_1.04005m,FE5_3.02517m,FE5_1.03533m,FE5_2.03151m,FE5_1.02599m,FE5_1.02140m,FE5_4.89702m,FE5_10.8962m,FE5_5.23472m,FE5_1.00817m,FE5_3.51633m,FE5_1.81848m,FE5_1.03480m,FE5_1.47688m,FE5_1.06742m,FE5_1.62393m,FE5_1.40642m,FE5_5.71894m,FE6_19.5527m,FE6_14.7670m,FE6_12.3074m,FE6_1.34929m
0,1,300,21.6,20,0.0004601,0.0037829,0.00020323,0.011077,0.0047058,0.00010205,0.0058811,0,0,0,0,0,0,0,0,1E-22,0,0,0,0,0,0.00048521,0.000031869,5.7371E-08,0,0,0,0,4.233E-14,0,0,0,1.7267E-09,1.4056E-09,7.3027E-14,0,1.0383E-09,4.9027E-10,3.0659E-10,2.33E-10,1.4333E-10,6.8065E-11,5.3699E-11,4.39E-11,3.9611E-12,2.1258E-11,3.0246E-12,6.2282E-12,4.7965E-12,1.5642E-11,1.5657E-12,1.2146E-12,2.592E-12,6.7606E-12,1.1062E-12,8.447E-13,8.0496E-13,5.4332E-12,2.4392E-13,3.7761E-13,2.7674E-13,2.4644E-12,2.6638E-13,3.191E-13,2.5989E-13,2.4245E-13,1.4336E-13,5.0462E-14,2.5357E-13,2.1048E-14,1.0383E-13,4.4824E-14,4.4054E-14,9.2092E-15,2.7E-21,1.4E-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,300,21.6,21,0.0004601,0.0022309,0.00011827,0.0075025,0.0030659,0.000065156,0.0038592,0,0,0,0,0,0,0,0,1E-22,0,0,0,0,0,0.00044227,0.000030591,5.5703E-08,0,0,0,0,3.9448E-14,0,0,0,1.6505E-09,1.3228E-09,7.0811E-14,0,9.6268E-10,4.5509E-10,2.8394E-10,2.1494E-10,1.3253E-10,6.2788E-11,4.5025E-11,3.6783E-11,3.381E-12,1.9665E-11,2.7007E-12,4.8525E-12,3.7048E-12,1.3042E-11,1.3721E-12,1.0898E-12,2.0038E-12,6.2663E-12,1.0399E-12,8.0664E-13,7.5341E-13,4.5524E-12,2.3897E-13,3.5207E-13,2.4641E-13,2.0549E-12,2.5947E-13,2.5701E-13,2.5168E-13,2.3051E-13,1.363E-13,4.7153E-14,2.3928E-13,2.0206E-14,9.6522E-14,4.1562E-14,4.1584E-14,8.6521E-15,2.6E-21,1.3E-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,300,21.6,22,0.0004601,0.000083471,4.8223E-06,0.00061634,0.00025308,4.8554E-06,0.00033379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025452,0.000023619,4.5989E-08,0,0,0,0,2.5756E-14,0,0,0,1.2409E-09,9.0882E-10,5.7845E-14,0,5.8612E-10,2.7886E-10,1.7174E-10,1.2712E-10,7.9458E-11,3.7135E-11,1.5537E-11,1.2643E-11,1.2722E-12,1.1816E-11,1.3103E-12,1.0858E-12,7.8851E-13,4.3604E-12,5.9928E-13,5.4352E-13,4.2866E-13,3.807E-12,6.7713E-13,5.7466E-13,4.7857E-13,1.5648E-12,1.9671E-13,2.1832E-13,1.1769E-13,6.8699E-13,2.0738E-13,6.9498E-14,1.9441E-13,1.6009E-13,9.4661E-14,2.9603E-14,1.6121E-13,1.485E-14,5.9648E-14,2.5305E-14,2.8063E-14,5.679E-15,2.1E-21,1E-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,300,21.6,23,0.0004601,1.1814E-08,2.2392E-16,5.0132E-08,4.5113E-12,4.3974E-14,1.094E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5482E-06,5.2828E-06,1.5134E-08,0,0,0,0,2.12E-15,0,0,0,2.3746E-10,1.0186E-10,1.7902E-14,0,3.0655E-11,1.5183E-11,8.6215E-12,5.5413E-12,3.7729E-12,1.6187E-12,1.8067E-14,1.4296E-14,2.6955E-15,5.6899E-13,1.5719E-14,5.1809E-17,2.5719E-17,4.0465E-15,3.5492E-15,7.8225E-15,1.4533E-17,1.9642E-13,5.331E-14,7.7956E-14,3.2352E-14,1.7694E-15,6.1911E-14,1.2694E-14,1.2718E-15,6.3753E-16,5.5214E-14,1.3656E-17,4.247E-14,1.8644E-14,1.1024E-14,1.8584E-15,1.574E-14,2.4245E-15,3.4231E-15,1.3235E-15,2.7681E-15,4.7277E-16,6E-22,2E-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,300,21.5,20,0.0007293,0.0059118,0.0005989,0.017295,0.007054,0.0001187,0.0078661,0,0,0,0,0,0,0,0,2E-22,0,0,0,0,0,0.00079548,0.000052207,9.3985E-08,0,0,0,0,1.466E-13,0,0,0,6.6027E-09,5.3728E-09,2.7914E-13,0,3.6489E-09,1.7239E-09,1.0781E-09,8.1906E-10,5.0386E-10,2.3928E-10,1.887E-10,1.5426E-10,1.3585E-11,7.4728E-11,1.0374E-11,2.1407E-11,1.6498E-11,5.4977E-11,5.37E-12,4.1659E-12,8.9153E-12,2.3767E-11,3.8179E-12,2.9204E-12,2.7789E-12,1.9092E-11,8.3672E-13,1.2981E-12,9.4919E-13,8.6622E-12,9.2061E-13,1.0943E-12,8.9853E-13,8.3728E-13,4.9491E-13,1.7348E-13,8.9334E-13,7.264E-14,3.6489E-13,1.5757E-13,1.5521E-13,3.2178E-14,9.7E-21,5E-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,300,21.5,21,0.0007293,0.0034876,0.00034764,0.011735,0.0045821,0.000075481,0.0051459,0,0,0,0,0,0,0,0,2E-22,0,0,0,0,0,0.00072467,0.00005009,9.1212E-08,0,0,0,0,1.3659E-13,0,0,0,6.3087E-09,5.0535E-09,2.7055E-13,0,3.3735E-09,1.5956E-09,9.9551E-10,7.5337E-10,4.6457E-10,2.2009E-10,1.5773E-10,1.2886E-10,1.1552E-11,6.8927E-11,9.229E-12,1.6614E-11,1.2693E-11,4.57E-11,4.6887E-12,3.7242E-12,6.8654E-12,2.1965E-11,3.5768E-12,2.7794E-12,2.5921E-12,1.5948E-11,8.1683E-13,1.2061E-12,8.4205E-13,7.2005E-12,8.9375E-13,8.7799E-13,8.6725E-13,7.9334E-13,4.6895E-13,1.6153E-13,8.4066E-13,6.95E-14,3.3824E-13,1.4568E-13,1.461E-13,3.0145E-14,9.4E-21,4.7E-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,300,21.5,22,0.0007293,0.0001302,0.00001414,0.0009629,0.00037755,5.6103E-06,0.00044423,0,0,0,0,0,0,0,0,1E-22,0,0,0,0,0,0.00041695,0.000038669,7.5296E-08,0,0,0,0,8.9186E-14,0,0,0,4.7419E-09,3.4711E-09,2.2096E-13,0,2.0506E-09,9.7612E-10,6.0115E-10,4.4482E-10,2.7806E-10,1.2995E-10,5.4333E-11,4.4213E-11,4.3373E-12,4.1348E-11,4.4683E-12,3.709E-12,2.6952E-12,1.5251E-11,2.0434E-12,1.8535E-12,1.4652E-12,1.3322E-11,2.3244E-12,1.9762E-12,1.6432E-12,5.472E-12,6.7102E-13,7.4635E-13,4.0132E-13,2.403E-12,7.1295E-13,2.3688E-13,6.6859E-13,5.499E-13,3.2505E-13,1.012E-13,5.6547E-13,5.0976E-14,2.0868E-13,8.8549E-14,9.8437E-14,1.9755E-14,7.6E-21,3.6E-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,300,21.5,23,0.0007293,1.2244E-08,6.5696E-16,5.1397E-08,6.7298E-12,5.0707E-14,1.387E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000015643,8.6497E-06,2.478E-08,0,0,0,0,7.3407E-15,0,0,0,9.0758E-10,3.8912E-10,6.8394E-14,0,1.0736E-10,5.3201E-11,3.021E-11,1.9411E-11,1.3217E-11,5.6705E-12,6.3244E-14,5.0046E-14,9.2024E-15,1.9931E-12,5.3677E-14,1.772E-16,8.8027E-17,1.4168E-14,1.2118E-14,2.6712E-14,4.9741E-17,6.8811E-13,1.8324E-13,2.6844E-13,1.1123E-13,6.1938E-15,2.1149E-13,4.3456E-14,4.3428E-15,2.2323E-15,1.9007E-13,4.6609E-17,1.4625E-13,6.4123E-14,3.7904E-14,6.3618E-15,5.5268E-14,8.3336E-15,1.1989E-14,4.6361E-15,9.7198E-15,1.6463E-15,2.3E-21,7E-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,300,21.4,20,0.001156,0.0091309,0.0016075,0.02663,0.010217,0.00013701,0.010144,0,0,0,0,0,0,0,0,1.8E-21,0,0,0,0,0,0.0012919,0.000084712,1.525E-07,9E-21,4.9E-21,0,0,3.7823E-13,0,0,0,2.2847E-08,1.8575E-08,9.6509E-13,0,1.1207E-08,5.297E-09,3.3125E-09,2.5157E-09,1.5476E-09,7.3494E-10,5.7946E-10,4.7372E-10,4.047E-11,2.2952E-10,3.0906E-11,6.394E-11,4.9297E-11,1.6883E-10,1.5997E-11,1.2411E-11,2.664E-11,7.3E-11,1.1463E-11,8.7824E-12,8.3451E-12,5.8629E-11,2.493E-12,3.8783E-12,2.8277E-12,2.6602E-11,2.7683E-12,3.2597E-12,2.7021E-12,2.5151E-12,1.4862E-12,5.1828E-13,2.7521E-12,2.1812E-13,1.1207E-12,4.8395E-13,4.7813E-13,9.8475E-14,1.268E-19,6.49E-20,4E-22,2E-22,2E-22,2E-22,1E-22,1E-22,1E-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,300,21.4,21,0.001156,0.0054021,0.00093112,0.018188,0.0066021,0.000086378,0.0065964,0,0,0,0,0,0,0,0,1.6E-21,0,0,0,0,0,0.001177,0.000081302,1.4806E-07,8.6E-21,4.7E-21,0,0,3.5421E-13,0,0,0,2.1815E-08,1.7459E-08,9.3479E-13,0,1.0352E-08,4.8987E-09,3.0563E-09,2.312E-09,1.4257E-09,6.7543E-10,4.8383E-10,3.9526E-10,3.4374E-11,2.1153E-10,2.7466E-11,4.9552E-11,3.7872E-11,1.4018E-10,1.3953E-11,1.1084E-11,2.0484E-11,6.741E-11,1.073E-11,8.3518E-12,7.7774E-12,4.8919E-11,2.4318E-12,3.6001E-12,2.506E-12,2.2088E-11,2.6856E-12,2.6118E-12,2.6061E-12,2.3812E-12,1.4071E-12,4.8216E-13,2.5878E-12,2.0853E-13,1.038E-12,4.4707E-13,4.4973E-13,9.2184E-14,1.227E-19,6.21E-20,3E-22,2E-22,2E-22,2E-22,1E-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
