Z,U,R,n,NH,agn_percent,redshift,Lbol,L12um,W1L,W2L,W3L,W4L,w12_wrong,w23_wrong
1,-5.145693958,22.141001,1000,19,0,0,1,0.002724426,-10.58463575,-10.83318453,-13.99661072,-15.92098294,0.248590071,3.096603824
1,-5.145693958,22.141001,1000,19.5,0,0,1,0.003319322,-10.58551774,-10.83268119,-14.09113044,-15.95743199,0.247062269,3.202108032
1,-5.145693958,22.141001,1000,20,0,0,1,0.005116029,-10.59097952,-10.83372042,-14.33592873,-16.06132254,0.242210615,3.46860729
1,-5.145693958,22.141001,1000,20.5,0,0,1,0.009293699,-10.60675954,-10.83991959,-14.75463849,-16.27415902,0.231653021,3.909068821
1,-5.145693958,22.141001,1000,21,0,0,1,0.012982638,-10.61243259,-10.84143425,-15.02359552,-16.45867079,0.226720724,4.18906072
1,-5.145693958,22.141001,1000,21.5,0,0,1,0.01328562,-10.5766922,-10.82035746,-15.03875102,-16.49480169,0.241505924,4.225915522
1,-5.145693958,22.141001,1000,22,0,0,1,0.012136238,-10.45141974,-10.74567525,-14.9491502,-16.43536303,0.292915129,4.208360643
1,-5.145693958,22.141001,1000,22.5,0,0,1,0.008966836,-10.05625837,-10.50923826,-14.66127693,-16.22764999,0.45416153,4.149301349
1,-5.145693958,22.141001,1000,23,0,0,1,0.003440399,-8.824026855,-9.765911261,-13.81839453,-15.57416315,0.950230666,4.03315417
1,-5.145693958,22.141001,1000,23.5,0,0,1,1.74E-04,-5.075229358,-7.45713207,-11.51332774,-13.55803587,2.404578249,4.024772159
1,-5.096747183,22.141001,1000,19,5,0,1,0.003145737,-10.61155272,-10.9156419,-14.45565794,-15.92787711,0.304140984,3.466290518
1,-5.096747183,22.141001,1000,19.5,5,0,1,0.003751239,-10.61213475,-10.91651349,-14.53244124,-15.97704403,0.304375628,3.54788238
1,-5.096747183,22.141001,1000,20,5,0,1,0.005469911,-10.61644158,-10.91845957,-14.6931025,-16.08305825,0.301738151,3.722933745
1,-5.096747183,22.141001,1000,20.5,5,0,1,0.009470832,-10.62999816,-10.92531316,-14.99675116,-16.29363965,0.294309773,4.04459513
1,-5.096747183,22.141001,1000,21,5,0,1,0.013766218,-10.63846064,-10.92989114,-15.24893662,-16.49663206,0.289693254,4.307951412
1,-5.096747183,22.141001,1000,21.5,5,0,1,0.014855125,-10.60733575,-10.91242998,-15.30056413,-16.55987011,0.303379818,4.379667448
1,-5.096747183,22.141001,1000,22,5,0,1,0.013693711,-10.4834794,-10.83899398,-15.22005126,-16.51017244,0.354596623,4.370225598
1,-5.096747183,22.141001,1000,22.5,5,0,1,0.010126203,-10.08932711,-10.60321953,-14.93874591,-16.30589222,0.515498641,4.317373946
1,-5.096747183,22.141001,1000,23,5,0,1,0.003888917,-8.8589707,-9.860360923,-14.10551408,-15.65516695,1.010120432,4.211778269
1,-5.096747183,22.141001,1000,23.5,5,0,1,1.97E-04,-5.116667563,-7.554514369,-11.78835865,-13.64887797,2.4608132,4.191152731
1,-5.041531682,22.141001,1000,19,10,0,1,0.003448182,-10.64230242,-10.99706464,-14.70735987,-15.92648001,0.354936498,3.630772044
1,-5.041531682,22.141001,1000,19.5,10,0,1,0.004148737,-10.64351105,-10.99948488,-14.81403684,-15.98837681,0.356108155,3.738778906
1,-5.041531682,22.141001,1000,20,10,0,1,0.005796003,-10.64766517,-11.002607,-14.934741,-16.09733941,0.354900115,3.869440879
