Low Mass AGNs,Medium Mass AGNs,High Mass AGNs
"['Na6(8)/Na4', 0.4]","['Fe13/Fe6(1.01)', 0.38]","['Al9/Al6(3)', 0.0]"
"['Si10/Si9', 0.08]","['Si9/Si6', 0.08]","['Si11/Si10', 0.0]"
"['Na6(8)/Na4(6)', 0.01]","['Si11/Si10', 0.0]","['Si11/Si6', 0.0]"
"['Si11/Si10', 0.01]","['Si11/Si6', 0.0]","['Si10/Si9', 0.0]"
"['Si9/Si6', 0.01]","['Si10/Si7(2)', -0.04]","['Si10/Si7(6)', 0.0]"
"['Si7(6)/Si6', 0.01]","['Si10/Si6', -0.04]","['Si10/Si7(2)', 0.0]"
"['Al8(5)/Al6(9)', -0.01]","['Si10/Si7(6)', -0.05]","['Si10/Si6', -0.0]"
"['Al9/Al8(5)', -0.04]","['Si10/Si9', -0.07]","['Si9/Si6', -0.01]"
"['Mg7(9)/Mg5(5)', -0.04]","['Al9/Al6(9)', -0.1]","['Fe13/Fe6(1.01)', -0.01]"
"['Na6(14)/Na4(9)', -0.04]","['Al9/Al6(3)', -0.1]","['Si7(6)/Si6', -0.02]"
"['Mg7(9)/Mg5(13)', -0.05]","['Si9/Si7(2)', -0.1]","['Al8(5)/Al6(9)', -0.04]"
"['Si10/Si7(6)', -0.06]","['Si9/Si7(6)', -0.12]","['Si9/Si7(2)', -0.05]"
"['Si9/Si7(2)', -0.06]","['Al9/Al5', -0.13]","['Al8(3)/Al6(9)', -0.08]"
"['Fe13/Fe6(1.01)', -0.08]","['Al8(3)/Al6(3)', -0.23]","['Na6(8)/Na4', -0.08]"
"['Mg7(9)/Mg4', -0.1]","['Al8(5)/Al6(9)', -0.23]","['Al8(5)/Al5', -0.09]"
"['Na7/Na4(9)', -0.12]","['Al8(3)/Al6(9)', -0.24]","['Na6(8)/Na4(6)', -0.1]"
"['Al8(3)/Al6(9)', -0.13]","['Al8(5)/Al6(3)', -0.24]","['Na7/Na4(6)', -0.13]"
"['Ca8/Ca5(4)', -0.14]","['Al9/Al8(5)', -0.3]","['Na6(8)/Na4(21)', -0.13]"
"['Na6(8)/Na4(21)', -0.14]","['Al9/Al8(3)', -0.31]","['Al8(5)/Al6(3)', -0.14]"
"['Al8(5)/Al5', -0.15]","['Al8(3)/Al5', -0.31]","['Mg7(9)/Mg4', -0.14]"
"['Mg7(9)/Mg5(3)', -0.15]","['Al8(5)/Al5', -0.31]","['Na7/Na4(21)', -0.16]"
"['Si11/Si6', -0.15]","['Mg7(5)/Mg5(3)', -0.49]","['Na6(14)/Na4(6)', -0.18]"
"['Si10/Si7(2)', -0.15]","['Mg7(5)/Mg5(13)', -0.49]","['Al8(3)/Al5', -0.19]"
"['Al9/Al8(3)', -0.17]","['Mg7(5)/Mg5(5)', -0.49]","['Al8(3)/Al6(3)', -0.2]"
"['Si7(2)/Si6', -0.18]","['Na7/Na4(9)', -0.49]","['Al9/Al6(9)', -0.22]"
"['Al9/Al6(3)', -0.19]","['Mg7(9)/Mg5(3)', -0.5]","['Na6(14)/Na4(21)', -0.22]"
"['Si10/Si6', -0.2]","['Mg7(9)/Mg5(13)', -0.5]","['Si7(2)/Si6', -0.23]"
"['Al9/Al5', -0.25]","['Mg7(9)/Mg5(5)', -0.5]","['Na7/Na4(9)', -0.24]"
"['Ca8/Ca5(11)', -0.3]","['Na7/Na4(21)', -0.5]","['Ca8/Ca5(4)', -0.25]"
"['Al6(9)/Al5', -0.33]","['Na7/Na4(6)', -0.51]","['Na6(8)/Na4(9)', -0.28]"
"['Na7/Na6(8)', -0.33]","['Ca8/Ca5(11)', -0.56]","['Ca8/Ca5(11)', -0.29]"
"['Al9/Al6(9)', -0.4]","['Na7/Na6(8)', -0.56]","['Mg7(5)/Mg4(4)', -0.29]"
"['Na7/Na4(6)', -0.43]","['Ca8/Ca5(4)', -0.57]","['Mg7(9)/Mg5(5)', -0.3]"
"['Al8(5)/Al6(3)', -0.44]","['Na7/Na6(14)', -0.58]","['Mg7(9)/Mg5(13)', -0.31]"
"['Si9/Si7(6)', -0.55]","['Mg7(5)/Mg4(4)', -0.59]","['Na7/Na6(8)', -0.32]"
"['Na6(14)/Na4(6)', -0.59]","['Si7(2)/Si6', -0.6]","['Na6(14)/Na4(9)', -0.32]"
"['Al8(3)/Al5', -0.63]","['Mg7(9)/Mg4', -0.61]","['Si9/Si7(6)', -0.33]"
"['Na7/Na4(21)', -0.65]","['Na6(14)/Na4(9)', -0.69]","['Al9/Al5', -0.34]"
"['Al6(3)/Al5', -0.71]","['Na6(8)/Na4(9)', -0.74]","['Mg7(9)/Mg5(3)', -0.36]"
"['Mg7(5)/Mg5(5)', -0.73]","['Na6(8)/Na4', -0.75]","['Mg7(5)/Mg5(3)', -0.37]"
"['Mg7(5)/Mg5(13)', -0.79]","['Na6(14)/Na4(21)', -0.76]","['Mg7(5)/Mg5(13)', -0.44]"
"['Al8(3)/Al6(3)', -0.82]","['Ne6/Ne5(24)', -0.76]","['Mg7(5)/Mg5(5)', -0.44]"
"['Na6(8)/Na4(9)', -0.83]","['Na6(14)/Na4(6)', -0.77]","['Ne6/Ne5(24)', -0.53]"
"['Mg7(5)/Mg5(3)', -0.9]","['Na6(8)/Na4(21)', -0.78]","['Mg5(13)/Mg4', -0.55]"
"['Mg7(5)/Mg4(4)', -0.92]","['Na6(8)/Na4(6)', -0.79]","['Mg5(5)/Mg4', -0.57]"
"['Mg5(5)/Mg4', -0.92]","['Ne6/Ne5(14)', -0.8]","['Ne6/Ne5(14)', -0.57]"
"['Na7/Na6(14)', -0.92]","['Mg5(13)/Mg4', -0.84]","['Al6(9)/Al5', -0.62]"
"['Na6(14)/Na4(21)', -0.92]","['Mg5(5)/Mg4', -0.84]","['Al9/Al8(5)', -0.68]"
