Low Mass AGNs,Medium Mass AGNs,High Mass AGNs
"['Mg7(5)/Mg5(3)', 400.77588455780864]","['Ca8/Ca5(4)', 123.85976828202718]","['Mg5(3)/Mg4', 514.4863655207644]"
"['Al6(9)/Al5', 312.28569827817427]","['Al8(3)/Al5', 103.6607183533279]","['Ca8/Ca5(4)', 514.2194685304637]"
"['Na7/Na4(6)', 265.34028735762996]","['Al9/Al6(9)', 74.14875013937404]","['Mg7(9)/Mg5(13)', 462.28447521924096]"
"['Na6(8)/Na4(9)', 255.43284378779705]","['Al9/Al8(5)', 67.02129437332881]","['Mg7(9)/Mg5(5)', 274.71013705384206]"
"['Mg7(9)/Mg4', 224.92182217796855]","['Si10/Si7(6)', 64.31025779747813]","['Na6(8)/Na4(21)', 58.05982849643682]"
"['Al8(3)/Al5', 160.4353405917421]","['Na7/Na4(21)', 42.24585550686344]","['Al8(3)/Al5', 0.0]"
"['Al8(5)/Al6(3)', 118.16145417794893]",0,0
"['Mg5(13)/Mg4', 113.37572059746664]",0,0
"['Na7/Na4(21)', 104.83081724596823]",0,0
"['Al8(5)/Al5', 92.21425694515327]",0,0
"['Al9/Al6(3)', 78.48006406510244]",0,0
"['Si7(2)/Si6', 66.7425578262622]",0,0
