Result
"['Al6(3)/Al5', 95.375]"
"['Na7/Na6(8)', 42.501]"
"['Ne6/Ne5(14)', 36.348]"
"['Na6(8)/Na3', 32.016]"
"['Mg7(5)/Mg4(4)', 17.839]"
"['Ca8/Ca5(11)', 6.8]"
"['Si7(2)/Si6', 3.0]"
"['Mg7(5)/Mg5(3)', 2.651]"
"['Na7/Na6(14)', 1.983]"
"['Si9/Si7(6)', 1.456]"
"['Ne6/Ne5(24)', 1.442]"
"['Si11/Si7(6)', 0.795]"
"['Mg7(9)/Mg4', 0.199]"
"['Al9/Al8(3)', -0.0]"
"['Al9/Al8(5)', -0.0]"
"['Al9/Al6(9)', -0.0]"
"['Al9/Al6(3)', -0.0]"
"['Al9/Al5', -0.0]"
"['Al8(3)/Al6(9)', -0.0]"
"['Al8(3)/Al6(3)', -0.0]"
"['Al8(3)/Al5', 0.0]"
"['Al8(5)/Al6(9)', -0.0]"
"['Al8(5)/Al6(3)', -0.0]"
"['Al8(5)/Al5', 0.0]"
"['Al6(9)/Al5', 0.0]"
"['Ca8/Ca5(4)', 0.0]"
"['Mg7(5)/Mg5(13)', 0.0]"
"['Mg7(5)/Mg5(5)', 0.0]"
"['Mg7(9)/Mg5(3)', 0.0]"
"['Mg7(9)/Mg5(13)', 0.0]"
"['Mg7(9)/Mg5(5)', 0.0]"
"['Mg5(3)/Mg4', -0.0]"
"['Mg5(13)/Mg4', 0.0]"
"['Mg5(5)/Mg4', 0.0]"
"['Na7/Na4(21)', -0.0]"
"['Na6(8)/Na4(6)', 0.0]"
"['Na6(8)/Na4(21)', -0.0]"
"['Na6(14)/Na4(6)', 0.0]"
"['Na6(14)/Na4(21)', -0.0]"
"['Na6(14)/Na4(9)', -0.0]"
"['Si11/Si10', 0.0]"
"['Si11/Si9', 0.0]"
"['Si11/Si7(2)', 0.0]"
"['Si11/Si6', 0.0]"
"['Si10/Si7(6)', -0.0]"
"['Si10/Si7(2)', -0.0]"
"['Si10/Si6', 0.0]"
"['Si9/Si7(2)', 0.0]"
"['Si9/Si6', 0.0]"
"['Si7(6)/Si6', 0.0]"
"['Si10/Si9', -1.324]"
"['Fe13/Fe6(1.01)', -1.873]"
"['Na7/Na4(6)', -30.882]"
"['Na6(8)/Na4(9)', -37.277]"
"['Na7/Na4(9)', -47.911]"
