agn%,U,Z,NH,N,R,redshift,S3_18.67m,S4_10.51m,O3_5007A,H1_6563A,NE3_15.55m,S2_6720A,N2_6584A,H1_4861A,NE2_12.81m,AR3_9.000m,AR2_6.980m,S2_1.033m,AR3_21.83m,CL4_20.40m,FE3_22.92m,NA3_7.320m,CL4_11.70m,K3_4.620m,ZN4_3.623m,K4_5.980m,FE4_2.836m,F2_29.32m,FE4_2.774m,FE4_2.716m,K4_15.39m,FE4_2.865m,TI3_1.206m,FE4_2.714m,TI3_1.180m,CA4_3.210m,FE4_2.806m,CR5_3.750m,FE3_7.789m,FE3_10.20m,FE3_8.608m,TI3_4.448m,FE3_8.208m,TI3_4.693m,TI3_1.241m
0.0,0.001214,1.0,21.0,300.0,21.391001,0.0,3.1659,0.023224,0.10375,3.5813,0.044466,1.7282,1.0067,1,1.225,0.20842,0.205,0.071202,0.014671,3.80E-06,0.017619,0.00001878,3.04E-06,0.00019235,7.64E-06,4.99E-08,5.79E-07,0.00017352,1.30E-07,1.21E-07,3.93E-09,8.82E-08,0.000011273,6.13E-08,6.18E-06,5.00E-11,5.26E-08,0,1.49E-06,3.28E-07,1.65E-07,2.52E-07,1.13E-07,1.16E-07,4.64E-08
0.0,0.001924,1.0,21.0,300.0,21.291,0.0,3.5751,0.047487,0.1522,3.589,0.065307,1.3332,0.89259,1,1.213,0.21758,0.18807,0.055775,0.01529,7.71E-06,0.018495,0.000027511,6.17E-06,0.0002674,0.00001264,1.29E-07,9.20E-07,0.00016343,2.07E-07,1.93E-07,1.01E-08,1.40E-07,0.00001069,9.73E-08,5.86E-06,8.00E-11,8.36E-08,1.00E-11,1.53E-06,3.36E-07,0.000000169,2.39E-07,1.15E-07,1.10E-07,4.40E-08
0.0,0.003049,1.0,21.0,300.0,21.191,0.0,3.9294,0.091607,0.20804,3.5955,0.096758,1.0068,0.78189,1,1.1966,0.22861,0.17,0.042927,0.016046,0.000014627,0.018245,0.000040954,0.000011681,0.00036534,0.00002053,3.08E-07,1.33E-06,0.00015093,2.99E-07,2.78E-07,2.42E-08,2.03E-07,9.84E-06,1.41E-07,5.39E-06,1.30E-10,1.21E-07,3.00E-11,1.51E-06,3.31E-07,1.67E-07,2.21E-07,1.14E-07,1.01E-07,4.05E-08
0.0,0.004832,1.0,21.0,300.0,21.091,0.0,4.2159,0.16877,0.27217,3.5987,0.1441,0.75131,0.68258,1,1.1742,0.24216,0.14998,0.032748,0.016987,0.000026316,0.017034,0.000061853,0.000020995,0.0004877,0.000032897,6.83E-07,1.83E-06,0.00013591,4.12E-07,3.84E-07,5.34E-08,2.79E-07,8.86E-06,1.94E-07,4.85E-06,1.90E-10,1.67E-07,9.00E-11,1.45E-06,3.19E-07,1.61E-07,2.00E-07,1.10E-07,9.18E-08,3.65E-08
0.0,0.007658,1.0,21.0,300.0,20.991001,0.0,4.4225,0.30028,0.34815,3.5944,0.21449,0.55715,0.59198,1,1.1407,0.2584,0.12674,0.024855,0.018129,0.000045655,0.015094,0.000094369,0.000036404,0.00063285,0.000052176,1.41E-06,2.49E-06,0.00011824,5.60E-07,5.21E-07,1.10E-07,3.79E-07,7.77E-06,2.63E-07,4.25E-06,2.90E-10,2.26E-07,2.10E-10,1.37E-06,3.01E-07,1.52E-07,1.77E-07,1.04E-07,8.11E-08,3.20E-08
5.0,0.001268,1.0,21.0,300.0,21.291,0.0,3.6963,0.30802,0.42874,3.66,1.2964,1.8888,0.9809,1,1.0086,0.24838,0.25406,0.082457,0.017575,0.00061905,0.015208,0.002638,0.00049825,0.00069059,0.00051221,0.000026207,3.35E-06,0.00014472,7.55E-07,7.02E-07,2.08E-06,5.11E-07,0.000011008,3.55E-07,6.03E-06,1.45E-06,3.05E-07,2.20E-07,1.68E-06,3.73E-07,1.88E-07,2.50E-07,1.28E-07,1.15E-07,4.53E-08
5.0,0.00201,1.0,21.0,300.0,21.191,0.0,4.0203,0.59436,0.56646,3.6611,1.4914,1.4949,0.83237,1,0.85924,0.25763,0.21817,0.064957,0.018227,0.0011583,0.014045,0.0030073,0.00093211,0.00082912,0.00063297,0.000051508,5.11E-06,0.00012246,1.15E-06,1.07E-06,4.09E-06,7.79E-07,0.000010232,5.42E-07,5.61E-06,2.09E-06,4.65E-07,4.32E-07,1.60E-06,3.55E-07,1.79E-07,2.33E-07,1.22E-07,1.07E-07,4.21E-08
5.0,0.003186,1.0,21.0,300.0,21.091,0.0,4.209,1.0814,0.7341,3.6555,1.7014,1.2009,0.70665,1,0.69462,0.26418,0.17689,0.051799,0.018706,0.0020371,0.012095,0.0034324,0.0016401,0.00095996,0.00075693,0.000095241,7.68E-06,0.00009914,1.74E-06,1.61E-06,7.57E-06,1.17E-06,9.29E-06,8.16E-07,5.09E-06,3.03E-06,7.00E-07,8.55E-07,1.49E-06,3.31E-07,1.67E-07,2.13E-07,1.14E-07,9.74E-08,3.83E-08
5.0,0.005049,1.0,21.0,300.0,20.991001,0.0,4.2383,1.8571,0.9651,3.6405,1.9251,0.97122,0.60242,1,0.52629,0.26694,0.13221,0.042409,0.018945,0.0033791,0.0097952,0.0039047,0.0027245,0.0010773,0.00088505,0.00016641,0.000011858,0.000075624,0.000002682,2.49E-06,0.000013249,0.000001813,8.15E-06,1.26E-06,4.46E-06,4.40E-06,1.08E-06,1.66E-06,1.36E-06,3.04E-07,1.53E-07,1.89E-07,1.05E-07,8.66E-08,3.36E-08
5.0,0.008003,1.0,21.0,300.0,20.891001,0.0,4.093,3.0035,1.3095,3.611,2.1529,0.77391,0.51031,1,0.36351,0.26308,0.086719,0.035567,0.018738,0.0052866,0.0074478,0.0043927,0.0042727,0.0011685,0.001012,0.00027541,0.000019162,0.000052541,4.34E-06,4.04E-06,0.000022013,2.93E-06,6.75E-06,2.04E-06,3.70E-06,6.34E-06,1.75E-06,3.14E-06,1.20E-06,2.70E-07,1.36E-07,1.60E-07,9.35E-08,7.31E-08,2.78E-08
